Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;Indicações de interface;;;;Acesso a recursos externos;á data de início não estava tudo testado;Nada
Nem satisfeito nem insatisfeito;Não foram úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;;Nada
Nem satisfeito nem insatisfeito;Não foram úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;Aspecto visual;;;;;;;Mural de equipa;Gestão de equipa;;;;;Navegação na ferramenta;;;;;;;;Gestão de projectos;;Aviso de novas tarefas e impossibilidade de as cumprir;Nada
Nem satisfeito nem insatisfeito;Não foram úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Nada
Muito Satisfeito;Não foram úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;Aspecto visual;Navegação na ferramenta;;;;;;;Gestão de equipa;;;;Nada
Muito insatisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";Aspecto visual;Navegação na ferramenta;;;;;;;;;;Não considero que a ferramenta tenha algo de especial pelo contrário;;Navegação na ferramenta;;;;;Indicações de interface;;;;;A navegabilidade, o acesso ao site, o fazer o login e interações funcionam mal. Para aceder ao site e fazer login tenho de recorrer aos links dos emails anteriormente enviados, ou então perco imenso tempo a abrir páginas até conseguir chegar a página de login. A navegação para o preenchimentos dos módulos e perguntas também não é a melhor, é lenta o andar para trás e para a frente não é claro, etc...;Nada
Satisfeito;Foram muito úteis;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;Gestão de equipa;;;;Nada
Satisfeito;Úteis, mas pouco;Pouco úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;;;Vídeos;;Indicações de interface;;;;;;;;Perguntas;Exemplos;;;;;Gestão de equipa;;;;Nada
Satisfeito;Foram muito úteis;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;;;Gestão de equipa;;;;;Navegação na ferramenta;;;;;;Mural de equipa;;;Acesso a recursos externos;;Imenso
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;;Imenso
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Vídeos;;;;Gestão de equipa;Gestão de projectos;;;Imenso
Satisfeito;Foram muito úteis;Algo úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Imenso
Satisfeito;Úteis, mas pouco;Muito úteis;Gosto do actual equilíbrio de perguntas;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Imenso
