"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Perguntas;Gestão de projectos;,Vídeos;Indicações de interface;Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Exemplos;,Nada em particular ;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;Vídeos;,Perguntas;Indicações de interface;Mural de equipa;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Vídeos;Modelo de negócios;Gestão de projectos;,Perguntas;Exemplos;Indicações de interface;,Imenso,4,5.0
3,Foram muito úteis,Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Modelo de negócios;Gestão de projectos;,Indicações de interface;Gestão de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
1- Nada Satisfeito,Não foram úteis,"Não, nada úteis",Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Perguntas;Exemplos;Vídeos;,Nada,1,1.0
3,"Úteis, mas pouco",Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Modelo de negócios;Gestão de projectos;,não ter sofrido melhorias nas últimas edições;Navegação na ferramenta;Vídeos;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Exemplos;Modelo de negócios;Gestão de equipa;,Aspecto visual;Navegação na ferramenta;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Modelo de negócios;Gestão de projectos;,Premios;Perguntas;,Bastante,4,4.0
3,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Indicações de interface;Gestão de projectos;Acesso a recursos externos;,Pouco,3,2.0
